-152.941	-49.0566
-152.941	74.5283
-100.98	74.5283
-100.98	50
-5.88235	50
-5.88235	54.717
-10.7843	54.717
-10.7843	59.434
-15.6863	59.434
-15.6863	64.1509
-20.5882	64.1509
-20.5882	68.8679
-25.4902	68.8679
-25.4902	73.5849
-50.9804	73.5849
-50.9804	98.1132
0	98.1132
0	50
100	50
100	98.1132
150.98	98.1132
150.98	73.5849
125.49	73.5849
125.49	68.8679
120.588	68.8679
120.588	64.1509
115.686	64.1509
115.686	59.434
110.784	59.434
110.784	54.717
105.882	54.717
105.882	50
346.078	50
346.078	54.717
341.176	54.717
341.176	59.434
336.275	59.434
336.275	64.1509
331.373	64.1509
331.373	68.8679
326.471	68.8679
326.471	73.5849
300.98	73.5849
300.98	98.1132
351.961	98.1132
351.961	50
451.961	50
451.961	98.1132
502.941	98.1132
502.941	72.6415
477.451	72.6415
477.451	67.9245
472.549	67.9245
472.549	63.2075
467.647	63.2075
467.647	58.4906
462.745	58.4906
462.745	53.7736
457.843	53.7736
457.843	50
552.941	50
552.941	73.5849
601.961	73.5849
601.961	-24.5283
551.961	-24.5283
551.961	0
456.863	0
456.863	-4.71698
461.765	-4.71698
461.765	-9.43396
466.667	-9.43396
466.667	-14.1509
471.569	-14.1509
471.569	-18.8679
476.471	-18.8679
476.471	-23.5849
502.941	-23.5849
502.941	-49.0566
450.98	-49.0566
450.98	0
351.961	0
351.961	-49.0566
300.98	-49.0566
300.98	-23.5849
327.451	-23.5849
327.451	-18.8679
332.353	-18.8679
332.353	-14.1509
337.255	-14.1509
337.255	-9.43396
342.157	-9.43396
342.157	-4.71698
347.059	-4.71698
347.059	0
105.882	0
105.882	-4.71698
110.784	-4.71698
110.784	-9.43396
115.686	-9.43396
115.686	-14.1509
120.588	-14.1509
120.588	-18.8679
125.49	-18.8679
125.49	-23.5849
150	-23.5849
150	-49.0566
100	-49.0566
100	0
0	0
0	-49.0566
-50.9804	-49.0566
-50.9804	-22.6415
-25.4902	-22.6415
-25.4902	-17.9245
-20.5882	-17.9245
-20.5882	-13.2075
-15.6863	-13.2075
-15.6863	-8.49057
-10.7843	-8.49057
-10.7843	-3.77358
-5.88235	-3.77358
-5.88235	0
-100.98	0
-100.98	-23.5849
-152.941	-23.5849
-152.941	74.5283
